IDX,IFRS_CCF_EXTERNAL
0,IFRS_CCF_EXTERNAL_1
1,IFRS_CCF_EXTERNAL_2
2,IFRS_CCF_EXTERNAL_3
3,IFRS_CCF_EXTERNAL_4
4,IFRS_CCF_EXTERNAL_6
5,IFRS_CCF_EXTERNAL_7
6,IFRS_CCF_EXTERNAL_8
7,IFRS_CCF_EXTERNAL_9
8,IFRS_CCF_EXTERNAL_10
9,IFRS_CCF_EXTERNAL_11
10,IFRS_CCF_EXTERNAL_12
11,IFRS_CCF_EXTERNAL_13
12,IFRS_CCF_EXTERNAL_14
13,IFRS_CCF_EXTERNAL_15
14,IFRS_CCF_EXTERNAL_16
15,IFRS_CCF_EXTERNAL_17
16,IFRS_CCF_EXTERNAL_18
17,IFRS_CCF_EXTERNAL_19
18,IFRS_CCF_EXTERNAL_20
19,IFRS_CCF_EXTERNAL_21
20,IFRS_CCF_EXTERNAL_22
21,IFRS_CCF_EXTERNAL_23
22,IFRS_CCF_EXTERNAL_24
23,IFRS_CCF_EXTERNAL_25
24,IFRS_CCF_EXTERNAL_26
25,IFRS_CCF_EXTERNAL_27
26,IFRS_CCF_EXTERNAL_28
27,0
28,IFRS_CCF_EXTERNAL_5
29,IFRS_CCF_EXTERNAL_9
30,IFRS_CCF_EXTERNAL_13
31,IFRS_CCF_EXTERNAL_13
