IDX,TREATY_ID
0,TREATY_ID_TREATY3
1,TREATY_ID_TREATY4
2,TREATY_ID_TREATY5
4,TREATY_ID_TREATY7
5,TREATY_ID_TREATY8
6,TREATY_ID_TREATY9
7,TREATY_ID_TREATY10
8,TREATY_ID_TREATY11
9,TREATY_ID_TREATY12
10,TREATY_ID_TREATY13
11,TREATY_ID_TREATY14
12,TREATY_ID_TREATY15
13,TREATY_ID_TREATY16
14,TREATY_ID_TREATY17
15,TREATY_ID_TREATY18
16,TREATY_ID_TREATY19
17,TREATY_ID_TREATY20
18,TREATY_ID_TREATY21
19,TREATY_ID_TREATY22
20,TREATY_ID_TREATY23
21,TREATY_ID_TREATY24
22,TREATY_ID_TREATY25
23,9999
24,TREATY_ID_TREATY2
26,TREATY_ID_TREATY10
27,TREATY_ID_TREATY10
